id,answer
generation-for-nlp-0,1
generation-for-nlp-1,5
generation-for-nlp-2,1
generation-for-nlp-3,1
generation-for-nlp-4,5
generation-for-nlp-5,3
generation-for-nlp-6,2
generation-for-nlp-7,4
generation-for-nlp-8,2
generation-for-nlp-9,3
generation-for-nlp-10,3
generation-for-nlp-11,2
generation-for-nlp-12,2
generation-for-nlp-13,2
generation-for-nlp-14,2
generation-for-nlp-15,3
generation-for-nlp-16,1
generation-for-nlp-17,3
generation-for-nlp-18,2
generation-for-nlp-19,3
generation-for-nlp-20,2
generation-for-nlp-21,2
generation-for-nlp-22,4
generation-for-nlp-23,3
generation-for-nlp-24,1
generation-for-nlp-25,1
generation-for-nlp-26,3
generation-for-nlp-27,5
generation-for-nlp-28,1
generation-for-nlp-29,1
generation-for-nlp-30,3
generation-for-nlp-31,2
generation-for-nlp-32,2
generation-for-nlp-33,3
generation-for-nlp-34,1
generation-for-nlp-35,1
generation-for-nlp-36,3
generation-for-nlp-37,2
generation-for-nlp-38,3
generation-for-nlp-39,3
generation-for-nlp-40,4
generation-for-nlp-41,1
generation-for-nlp-42,1
generation-for-nlp-43,3
generation-for-nlp-44,1
generation-for-nlp-45,1
generation-for-nlp-46,2
generation-for-nlp-47,1
generation-for-nlp-48,2
generation-for-nlp-49,1
generation-for-nlp-50,2
generation-for-nlp-51,2
generation-for-nlp-52,3
generation-for-nlp-53,4
generation-for-nlp-54,1
generation-for-nlp-55,5
generation-for-nlp-56,2
generation-for-nlp-57,2
generation-for-nlp-58,3
generation-for-nlp-59,3
generation-for-nlp-60,4
generation-for-nlp-61,1
generation-for-nlp-62,1
generation-for-nlp-63,2
generation-for-nlp-64,2
generation-for-nlp-65,1
generation-for-nlp-66,1
generation-for-nlp-67,3
generation-for-nlp-68,1
generation-for-nlp-69,3
generation-for-nlp-70,2
generation-for-nlp-71,1
generation-for-nlp-72,3
generation-for-nlp-73,1
generation-for-nlp-74,2
generation-for-nlp-75,1
generation-for-nlp-76,3
generation-for-nlp-77,3
generation-for-nlp-78,2
generation-for-nlp-79,3
generation-for-nlp-80,3
generation-for-nlp-81,2
generation-for-nlp-82,5
generation-for-nlp-83,3
generation-for-nlp-84,2
generation-for-nlp-85,1
generation-for-nlp-86,4
generation-for-nlp-87,3
generation-for-nlp-88,1
generation-for-nlp-89,1
generation-for-nlp-90,1
generation-for-nlp-91,3
generation-for-nlp-92,3
generation-for-nlp-93,5
generation-for-nlp-94,3
generation-for-nlp-95,1
generation-for-nlp-96,1
generation-for-nlp-97,1
generation-for-nlp-98,4
generation-for-nlp-99,3
generation-for-nlp-100,1
generation-for-nlp-101,2
generation-for-nlp-102,1
generation-for-nlp-103,1
generation-for-nlp-104,3
generation-for-nlp-105,5
generation-for-nlp-106,3
generation-for-nlp-107,1
generation-for-nlp-108,2
generation-for-nlp-109,1
generation-for-nlp-110,3
generation-for-nlp-111,1
generation-for-nlp-112,4
generation-for-nlp-113,1
generation-for-nlp-114,5
generation-for-nlp-115,5
generation-for-nlp-116,5
generation-for-nlp-117,4
generation-for-nlp-118,2
generation-for-nlp-119,1
generation-for-nlp-120,3
generation-for-nlp-121,3
generation-for-nlp-122,4
generation-for-nlp-123,2
generation-for-nlp-124,1
generation-for-nlp-125,3
generation-for-nlp-126,5
generation-for-nlp-127,1
generation-for-nlp-128,1
generation-for-nlp-129,4
generation-for-nlp-130,5
generation-for-nlp-131,2
generation-for-nlp-132,3
generation-for-nlp-133,3
generation-for-nlp-134,1
generation-for-nlp-135,1
generation-for-nlp-136,3
generation-for-nlp-137,4
generation-for-nlp-138,4
generation-for-nlp-139,4
generation-for-nlp-140,1
generation-for-nlp-141,3
generation-for-nlp-142,1
generation-for-nlp-143,2
generation-for-nlp-144,3
generation-for-nlp-145,1
generation-for-nlp-146,1
generation-for-nlp-147,3
generation-for-nlp-148,1
generation-for-nlp-149,5
generation-for-nlp-150,5
generation-for-nlp-151,1
generation-for-nlp-152,4
generation-for-nlp-153,2
generation-for-nlp-154,1
generation-for-nlp-155,5
generation-for-nlp-156,5
generation-for-nlp-157,2
generation-for-nlp-158,3
generation-for-nlp-159,5
generation-for-nlp-160,4
generation-for-nlp-161,1
generation-for-nlp-162,1
generation-for-nlp-163,1
generation-for-nlp-164,2
generation-for-nlp-165,2
generation-for-nlp-166,1
generation-for-nlp-167,2
generation-for-nlp-168,3
generation-for-nlp-169,3
generation-for-nlp-170,5
generation-for-nlp-171,3
generation-for-nlp-172,3
generation-for-nlp-173,1
generation-for-nlp-174,2
generation-for-nlp-175,1
generation-for-nlp-176,5
generation-for-nlp-177,1
generation-for-nlp-178,5
generation-for-nlp-179,5
generation-for-nlp-180,1
generation-for-nlp-181,3
generation-for-nlp-182,1
generation-for-nlp-183,1
generation-for-nlp-184,2
generation-for-nlp-185,4
generation-for-nlp-186,2
generation-for-nlp-187,1
generation-for-nlp-188,5
generation-for-nlp-189,3
generation-for-nlp-190,4
generation-for-nlp-191,4
generation-for-nlp-192,2
generation-for-nlp-193,2
generation-for-nlp-194,2
generation-for-nlp-195,3
generation-for-nlp-196,3
generation-for-nlp-197,1
generation-for-nlp-198,2
generation-for-nlp-199,3
generation-for-nlp-200,3
generation-for-nlp-201,4
generation-for-nlp-202,2
